date_utc,home,away,home_score,away_score,xg_h,xg_a,poss_h,poss_a,shots_h,shots_a,sot_h,sot_a
2026-06-11,Mexico,South Africa,2,0,1.46,0.07,61,39,16,3,4,2
2026-06-12,Canada,Bosnia & Herzegovina,1,1,1.23,0.96,61,39,13,8,4,3
2026-06-12,South Korea,Czechia,2,1,2.30,0.83,62,38,15,7,6,4
2026-06-13,Brazil,Morocco,1,1,1.26,1.37,51,49,12,14,5,3
2026-06-13,Qatar,Switzerland,1,1,0.60,3.20,32,68,6,26,3,7
2026-06-13,USA,Paraguay,4,1,1.42,0.54,65,35,16,9,6,1
2026-06-14,Australia,Türkiye,2,0,1.18,1.36,28,72,9,30,4,8
2026-06-14,Côte d'Ivoire,Ecuador,1,0,1.52,1.01,48,52,15,12,4,1
2026-06-14,Germany,Curaçao,7,1,4.22,0.41,65,35,26,8,12,2
2026-06-14,Haiti,Scotland,0,1,1.05,1.05,54,46,15,9,2,2
2026-06-14,Netherlands,Japan,2,2,0.78,0.59,60,40,10,10,6,3
2026-06-15,Belgium,Egypt,1,1,1.35,1.08,54,46,15,14,3,3
2026-06-15,Saudi Arabia,Uruguay,1,1,0.66,1.72,33,67,7,27,3,10
2026-06-15,Spain,Cabo Verde,0,0,2.10,0.20,74,26,27,6,7,1
2026-06-15,Sweden,Tunisia,5,1,1.33,0.28,49,51,13,6,7,2
2026-06-16,France,Senegal,3,1,1.79,0.53,53,47,11,6,8,2
2026-06-16,Iran,New Zealand,2,2,1.50,1.24,49,51,17,14,4,8
2026-06-16,Iraq,Norway,1,4,0.80,2.52,39,61,11,12,1,5
2026-06-17,Argentina,Algeria,3,0,1.47,0.30,48,52,10,7,6,0
2026-06-17,Austria,Jordan,3,1,1.69,0.46,63,37,11,11,4,4
2026-06-17,England,Croatia,4,2,3.20,0.70,52,48,22,10,11,5
2026-06-17,Ghana,Panama,1,0,1.25,0.73,38,62,7,11,2,4
2026-06-17,Portugal,DR Congo,1,1,0.65,0.87,75,25,7,8,1,2
2026-06-18,Canada,Qatar,6,0,4.60,0.22,79,21,32,2,10,0
2026-06-18,Czechia,South Africa,1,1,1.02,1.38,38,62,14,17,3,4
2026-06-18,Switzerland,Bosnia & Herzegovina,4,1,2.06,0.23,62,38,13,5,7,3
2026-06-18,Uzbekistan,Colombia,1,3,1.16,1.61,39,61,8,15,2,4
2026-06-19,Mexico,South Korea,1,0,0.53,0.91,42,58,8,9,4,2
2026-06-19,Scotland,Morocco,0,1,0.51,0.99,41,59,6,12,0,2
2026-06-20,Brazil,Haiti,3,0,1.75,0.23,57,43,8,7,5,3
2026-06-19,USA,Australia,2,0,1.08,0.35,62,38,10,5,2,2
2026-06-20,Germany,Côte d'Ivoire,2,1,1.89,1.22,60,40,16,9,7,2
2026-06-20,Netherlands,Sweden,5,1,2.61,1.01,51,49,10,16,7,8
2026-06-20,Türkiye,Paraguay,0,1,2.17,0.32,79,21,32,7,5,2
2026-06-21,Belgium,Iran,0,0,1.79,0.62,70,30,23,7,7,3
2026-06-21,Ecuador,Curaçao,0,0,2.84,0.50,75,25,27,10,15,3
2026-06-21,Spain,Saudi Arabia,4,0,2.30,0.14,67,33,22,3,8,1
2026-06-21,Tunisia,Japan,0,4,0.05,2.13,38,62,2,11,0,5
2026-06-21,Uruguay,Cabo Verde,2,2,2.32,0.88,65,35,17,12,2,4
2026-06-22,Argentina,Austria,2,0,2.36,0.53,54,46,12,6,5,1
2026-06-22,France,Iraq,3,0,2.67,0.63,56,44,19,4,5,0
2026-06-22,New Zealand,Egypt,1,3,1.24,1.87,44,56,11,19,5,7
2026-06-23,England,Ghana,0,0,1.36,0.17,79,21,19,2,3,1
2026-06-23,Jordan,Algeria,1,2,0.63,1.89,28,72,8,17,4,8
2026-06-23,Norway,Senegal,3,2,2.20,1.72,42,58,13,16,7,4
2026-06-23,Panama,Croatia,0,1,0.55,1.65,42,58,8,6,1,2
2026-06-23,Portugal,Uzbekistan,5,0,2.61,0.24,66,34,17,7,9,2
2026-06-24,Bosnia & Herzegovina,Qatar,3,1,0.68,0.77,54,46,14,9,5,3
2026-06-24,Colombia,DR Congo,1,0,0.98,0.37,64,36,20,7,9,1
2026-06-24,Morocco,Haiti,4,2,3.76,1.22,69,31,22,9,11,2
2026-06-24,Scotland,Brazil,0,3,1.04,4.33,46,54,14,21,5,9
2026-06-24,Switzerland,Canada,2,1,1.11,1.66,55,45,6,13,4,7
2026-06-25,Curaçao,Côte d'Ivoire,0,2,0.50,1.31,37,63,11,7,2,3
2026-06-25,Czechia,Mexico,0,3,0.53,1.74,52,48,13,11,1,5
2026-06-25,Ecuador,Germany,2,1,1.27,0.65,39,61,7,11,3,3
2026-06-25,Japan,Sweden,1,1,1.21,0.64,52,48,8,11,3,5
2026-06-25,South Africa,South Korea,1,0,1.16,0.90,32,68,13,8,4,3
2026-06-25,Tunisia,Netherlands,1,3,0.62,1.85,29,71,10,20,4,7
2026-06-26,Norway,France,1,4,1.70,1.50,43,57,10,18,4,9
2026-06-26,Paraguay,Australia,0,0,0.24,0.55,44,56,7,12,2,5
2026-06-26,Senegal,Iraq,5,0,3.01,0.14,69,31,28,6,12,1
2026-06-26,Türkiye,USA,3,2,3.05,2.13,47,53,9,18,3,7
2026-06-27,Cabo Verde,Saudi Arabia,0,0,1.39,0.39,51,49,15,7,2,3
2026-06-27,Colombia,Portugal,0,0,1.70,0.93,55,45,24,13,6,2
2026-06-27,Croatia,Ghana,2,1,0.42,0.64,53,47,8,6,4,1
2026-06-27,DR Congo,Uzbekistan,3,1,2.18,0.20,58,42,19,3,4,1
2026-06-27,Egypt,Iran,1,1,0.84,1.97,61,39,15,13,3,4
2026-06-27,New Zealand,Belgium,1,5,0.24,3.64,46,54,6,35,2,10
2026-06-27,Panama,England,0,2,0.66,1.56,33,67,13,17,2,6
2026-06-27,Uruguay,Spain,0,1,0.20,0.86,33,67,5,6,1,1
2026-06-28,Algeria,Austria,3,3,1.67,1.49,65,35,12,10,5,3
2026-06-28,Jordan,Argentina,1,3,0.76,2.13,27,73,5,12,1,4
2026-06-28,South Africa,Canada,0,1,0.14,1.38,58,42,6,12,1,7
2026-06-29,Brazil,Japan,2,1,2.07,0.33,69,31,19,5,7,2
2026-06-29,Germany,Paraguay,4,5,1.57,0.35,76,24,21,7,6,3
2026-06-30,Côte d'Ivoire,Norway,1,2,1.49,1.90,47,53,14,9,5,4
2026-06-30,France,Sweden,3,0,3.24,0.70,61,39,25,8,12,3
2026-06-30,Netherlands,Morocco,3,4,0.24,1.38,30,70,6,11,2,5
2026-07-01,Belgium,Senegal,3,2,1.74,3.58,52,48,19,19,5,5
2026-07-01,England,DR Congo,2,1,2.16,0.77,60,40,16,7,7,2
2026-07-01,Mexico,Ecuador,2,0,1.05,0.75,43,57,15,7,3,1
2026-07-02,Portugal,Croatia,2,1,2.20,1.34,60,40,15,13,3,6
2026-07-02,Spain,Austria,3,0,2.80,0.32,64,36,23,5,10,0
2026-07-02,USA,Bosnia & Herzegovina,2,0,0.88,0.25,48,52,8,10,2,3
2026-07-03,Argentina,Cabo Verde,3,2,2.26,0.47,64,36,22,16,10,5
2026-07-03,Australia,Egypt,3,5,0.84,1.32,42,58,16,14,1,3
2026-07-03,Switzerland,Algeria,2,0,2.45,0.74,45,55,11,8,5,2
2026-07-04,Canada,Morocco,0,3,0.84,0.82,45,55,10,5,3,4
2026-07-04,Colombia,Ghana,1,0,2.04,0.27,61,39,20,8,8,0
2026-07-04,Paraguay,France,0,1,0.13,1.45,24,76,5,15,1,5
